コード,銘柄名,類似米国ETFティッカー
1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,SOYB
1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,HDV
1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,USO
170A,ＳＭＴ　ＥＴＦ日本好配当株アクティブ,HDV
178A,グローバルＸ　革新的優良企業　ＥＴＦ,ARKK
179A,グローバルＸ　超長期米国債　ＥＴＦ（為替ヘッジあり）,TLT
180A,グローバルＸ　超長期米国債　ＥＴＦ,TLT
181A,ＭＡＸＩＳ米国国債１－３年上場投信（為替ヘッジなし）,SHY
182A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）,TLT
183A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）,TLT
188A,グローバルＸ　インド・トップ１０＋　ＥＴＦ,INDA
200A,ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信,SOXX
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,HDV
2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,BIL
2013,ｉシェアーズ　米国高配当株　ＥＴＦ,HDV
2014,ｉシェアーズ　米国連続増配株　ＥＴＦ,NOBL
2015,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）,IEF
2016,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）,IEF
2017,ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０,EWJ
2018,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ,VNQ
2019,グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）,PFF
201A,ｉシェアーズ　Ｎｉｆｔｙ　５０　インド株　ＥＴＦ,INDA
2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ,YINN
2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ,YANG
2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,KORU
2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ,KORZ
2036,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ,UGL
2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,GLL
2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,UCO
2039,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ,SCO
2040,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ,DDM
2041,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ,DOG
2042,ＮＥＸＴ　ＮＯＴＥＳ　東証グロース市場２５０　ＥＴＮ,IJR
2043,ＮＥＸＴ　ＮＯＴＥＳ　ＳＴＯＸＸ　アセアン好配当５０（円、ネットリターン）ＥＴＮ,ASEA
2044,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ５００　配当貴族（ネットリターン）　ＥＴＮ,NOBL
2045,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ　シンガポール　リート（ネットリターン）　ＥＴＮ,EWSS
2046,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ダブル・ブル　ＥＴＮ,INDL
2047,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ベア　ＥＴＮ,INDZ
2048,ＮＥＸＴ　ＮＯＴＥＳ　野村日本株高配当７０（ドルヘッジ、ネットリターン）ＥＴＮ,HDV
2050,ＮＥＸＴ　ＮＯＴＥＳ　ニッチトップ　中小型日本株（ネットリターン）ＥＴＮ,SCJ
2065,ＮＥＸＴ　ＮＯＴＥＳ　日本株配当貴族（ドルヘッジ、ネットリターン）ＥＴＮ,NOBL
